"2017-07-20 09:23:45 [restartedMain] INFO  com.backend.Application - Starting Application on GGPP10389 with PID 8453 (/home/dmi/workspace/github/pos-backend/build/classes/main started by dmi in /home/dmi/workspace/github/pos-backend)
""2017-07-20 09:23:45 [restartedMain] DEBUG com.backend.Application - Running with Spring Boot v1.5.3.RELEASE, Spring v4.3.8.RELEASE
""2017-07-20 09:23:45 [restartedMain] INFO  com.backend.Application - The following profiles are active: default
""2017-07-20 09:23:45 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@32473df1: startup date [Thu Jul 20 09:23:45 ICT 2017]; root of context hierarchy
""2017-07-20 09:23:48 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$580a62a0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2017-07-20 09:23:49 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-07-20 09:23:49 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service Tomcat
""2017-07-20 09:23:49 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.14
""2017-07-20 09:23:49 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-07-20 09:23:49 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4011 ms
""2017-07-20 09:23:49 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2017-07-20 09:23:49 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'webServlet' to [/h2-console/*]
""2017-07-20 09:23:49 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-07-20 09:23:49 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2017-07-20 09:23:49 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2017-07-20 09:23:49 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2017-07-20 09:23:51 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/categories/schema],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.fasterxml.jackson.module.jsonSchema.JsonSchema> com.backend.web.CategoryController.schema(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws com.fasterxml.jackson.databind.JsonMappingException
""2017-07-20 09:23:51 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/categories/v1/{id}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.backend.domain.Category> com.backend.web.CategoryController.findById(javax.servlet.http.HttpServletRequest,java.lang.Long)
""2017-07-20 09:23:51 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/categories/v1],methods=[GET]}" onto public org.springframework.http.ResponseEntity<com.backend.json.ResponseList<com.backend.domain.Category>> com.backend.web.CategoryController.getPage(javax.servlet.http.HttpServletRequest,int,java.lang.String)
""2017-07-20 09:23:51 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/categories/v1],methods=[GET],produces=[application/json]}" onto public com.backend.json.ResponseList<com.backend.domain.Category> com.backend.web.CategoryController.getPage(int,java.lang.String)
""2017-07-20 09:23:51 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/categories/v1],methods=[POST]}" onto public org.springframework.http.ResponseEntity<com.backend.domain.Category> com.backend.web.CategoryController.createWithForm(javax.servlet.http.HttpServletRequest,com.backend.domain.Category)
""2017-07-20 09:23:51 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/categories/v1/schema],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> com.backend.web.CategoryController.getschma(javax.servlet.http.HttpServletRequest)
""2017-07-20 09:23:51 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/categories/v1/all],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.Collection<com.backend.domain.Category>> com.backend.web.CategoryController.getAll(javax.servlet.http.HttpServletRequest)
""2017-07-20 09:23:51 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/categories/v1/{id}/json],methods=[POST],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<com.backend.domain.Category> com.backend.web.CategoryController.update(javax.servlet.http.HttpServletRequest,java.lang.Long,com.backend.domain.Category)
""2017-07-20 09:23:51 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/categories/v1/json],methods=[POST],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<com.backend.domain.Category> com.backend.web.CategoryController.create(javax.servlet.http.HttpServletRequest,com.backend.domain.Category)
